,ID,Кличка официальная,Отец id,Мать id
,589,KEARBY'S DOUBLE EVAN,564,752
,590,KEARBY'S REFLECTION,783,784
,591,KEARBY'S GABRIEL,785,786
,592,GEHAM BLACK VELVET OF KEARBY,787,788
,593,ALPINE MINSTREL BOY,789,790
,594,SEABRYN SONATA,791,792
,595,KASSANDRA ANNA LISA STAR,789,793
,596,FOYRI ELECTRIFY,562,794
,597,FOYRI REGAL GIRL OF IPPON,753,795
,598,FOYRI DIGNIFY,562,794
,599,WARCHANT INKSPOT,796,797
,600,MAERDY MAESTRO OF ORMANDY,798,799
,601,SOUPERLATIVE BOOKSALE ANGELS TEARS,719,800
,602,DENSPURS SOUPERLATIVE ROBIN,785,801
,603,IONEM CORTINA,798,802
,604,ROMANY RIVER PIRATE,803,804
,605,DENSPURS SALOME,805,806
,606,GEHAM LILLI MARLENE,787,807
,607,PONTYBULLY EASTER BONNET,785,808
,608,REDMASKE OF LENSTER,562,748
,609,CURRANEYE SWEET REFLECTION,377,809
,610,MONKERY'S CORDUROY OF JAVELAN,726,810
,611,ARICON MAMTEEKA AMELINDA,771,811
,612,ABRAXAS ACHILLEA,812,813
,613,ABRAXAS AUREOLE,548,813
,614,ABRAXAS SNOW WHITE,440,814
,615,CURRANEYE JACKIEBOY MASTER,377,809
,616,TIPCAT OF HOLLYFIR,817,818
,617,RANDELLA QUEEN OF SPADES,514,819
,618,SOUPERLATIVE SUNSTAR OF ORMANDY,785,820
,619,CURRANEYE MISTACHIO,562,821
,620,TOPAM SNOWY OWL,562,822
,621,LARES LUCKY TYKE,823,824
,622,LARES LUCKY SHEPHERDESS,825,826
,623,SEGREDA WHITE WARLORD,827,828
,624,BADLESMERE BRYONY,533,601
,625,SOUPERLATIVE ERMYNTRUDE OF WOODROW,436,829
,626,JOBRULU JACOBINIA,436,718
,627,LITCHFIELD OYSTER OF NAVARHOAN,830,831
,628,F3,832,833
,629,F4,834,835
,630,F5,836,837
,631,F6,838,839
,632,LANGVILLE BLUE JOHN,840,776
,633,LARES LOST ASCONA,621,841
,634,CLAIRE ANN OF KEARBY,779,842
,635,SEGREDA ANGELINA,533,736
,636,KIRKVILLE MAGNUM,843,844
,637,KIRKVILLE MODERN MILLIE,232,845
,638,MAERDY MAGNUM,666,846
,639,KENWUNN SANDEY,847,848
,640,POLYTELIS SILVER CONVENTION,354,356
,641,IFFINEST ABBONDANZA,849,850
,642,GEHAM CHRISTABEL,546,681
,643,ARICON'S DIAMOND OF BANEFIRE,232,851
,644,BRUM BULLIT,377,852
,645,REGAL GIRL AT RAVENHURST,298,853
,646,KEARBY'S SKIDOO,763,563
,647,WARTHORN POLLY FLINDERS,562,854
,648,GAMBLERS SUPERSTAR,292,855
,649,SWEET COMPULSION,856,857
,650,NAVADA ROAD COP,271,858
,651,NAVADA'S QUEEN BEE,859,860
,652,ALVIANCE HAWKEYE,165,190
,653,BARLEYSUGAR BABY,390,861
,654,HAUS PUZZLES CHOICE,386,862
,655,YVONNE ROYAL,640,863
,656,QUINCY IMPERATOR,640,864
,657,POLYTELIS LIBERTY WHITE,640,865
,658,MERLIN VON DER ALTEN VESTE,866,655
,659,HELEN VOM TELGEI,640,867
,660,XENNOCARA'S LA SOMBRA,868,869
,661,KVAPPINE ALET,870,871
,662,RUFFHOUSE SHEBASHINE,434,872
,663,ARICON ANNA KARENA,,
,664,BROBAR ELAN,,
,665,HUGHJILLS VALANTINE OF WILET,,
,666,RECOCO RINGLEADER OF ORMANDY,,
,667,JAMASES PERT FANCY,,
,668,ARCANUM QUEEN OF DIAMONDS,,
,669,HONKY OF BROBAR,,
,670,CHARLIES ANGEL BESS,,
,671,REDNAL PRINCE,,
,672,REDNAL LADY JAYNE,,
,673,RUBERY MASTER AT ARMS,,
,674,WHITE MAID OF BRUM,,
,675,BROBAR BABAJI,,
,676,LANGVILLE ANITA ROSE OF DEVO,,
,677,JUESTE GEORGIE PORGIE,,
,678,SWEET ALICIA OF CRISORDON,,
,679,BADLESMERE BABU'S DELIGHT,,
,680,BULIVAR BRIAR ROSE,,
,681,GEHAM SILVER SCALE,,
,682,ARICON ARCAMEDES OF FOYRI,,
,683,ARICON ANGELINA,,
,684,BROBAR GEM,,
,685,BROBAR GRISLEY,,
,686,BROBAR HORATIA,,
,687,ABRAXAS ACQUANIT,,
,688,AGATES IMPERIAL SILVER,,
,689,HARDRA'S STARBURST,,
,690,KEARBY'S TRUMPETER,,
,691,KEARBY'S KATIE,,
,692,HOLLYFIR'S BALTHAZAR,,
,693,GOLDEN MONASEETAH'S ORDENSJäGER,,
,694,JOBRULU VERONICA,,
,695,MAERDY MAHMOUD,,
,696,GRAIGVILLE INKEY,,
,697,REVLON ROMANTICA,,
,698,F7,,
,699,F8,,
,700,FENROTHER SWEET PHYLLIS,,
,701,REDNAL GAY BELLE,,
,702,EBORACUM LADY CLAIRE,,
,703,BADLESMERE BACCARAT OF BRAVELLO,,
,704,HORRESCO MISTER SNODGRASS,,
,705,DELMOREHS BLACK GEM,,
,706,AGATES SILVER NUTMEG,,
,707,BOURNHAM ALEXBROC OF IONEM,,
,708,MEREGIS HIGH AND DRY OF BROBAR,,
,709,JOWAT JACK THE LAD,,
,710,ARICON EVENING STAR,,
,711,EDELWEISS PRINCE,,
,712,TOPKINE THE HEATS ON OF FAITHFIELD,,
,713,LADY ARC ROYALE,,
,714,DERBY DAMSEL FOYRI,,
,715,CLIFTON TOMMY OF FOYRI,,
,716,FOYRI MAKE UP GIRL,,
,717,SKELENAS DOLLY DAGGER,,
,718,JOBRULU XOTICA,,
,719,ABRAXAS AUDACITY,,
,720,SOUPERLATIVE ROMINTEN RHEINGOLD,,
,721,HARDRA'S SLEEPING BEAUTY,,
,722,MONKERYS DELANTERO MOONRIDE,,
,723,MONKERY'S HARMONY,,
,724,CHARLSDON LITTLE PEACH,,
,725,SOUPERLATIVE SCRUMPTIOUS OF ORMANDY,,
,726,MONKERY'S MELTDOWN SEA SHANTY,,
,727,CHARLSDON APRICOT,,
,728,SOUPERLATIVE LAURA,,
,729,IONEM CORVETTE,,
,730,CONTANGO CODE OF LOVE,,
,731,HEATH HOUSE DESDEMONA OF HARDRA,,
,732,SOUPERLATIVE SPIFFING,,
,733,SEQOUIAH STARLIGHT,,
,734,SEQOUIAH STAR DANCER,,
,735,GEHAM SAFFRON,,
,736,SEGREDA SILVANA,,
,737,MAERDY MONALITA OF ABRAXAS,,
,738,ABRAXAS AROSINA,,
,739,F9,,
,740,F10,,
,741,EL GRECO OF BRUMMAGEM,,
,742,SOUPERLATIVE HARDRA'S HELEN,,
,743,ASHFIELD GIPSY JOKER,,
,744,MINSTREL GIRL OF KEARBY,,
,745,FENROTHER JUBILATION,,
,746,MOATVALE KNIGHT VALIANT,,
,747,MAY OF KEARBY,,
,748,MASQUERADE OF BRUMMAGEM,,
,749,BRONDY'S SUGAR RAY,,
,750,JUBILEE ROVING BEAUTY,,
,751,SWEET THURSDAY OF HOLLYFIR,,
,752,KEARBY'S MAJOR BARBARA,,
,753,FOYRI GIN YE DAUR,,
,754,JULIETTE OF RUBERY,,
,755,BONNY MAID,,
,756,BRIOSO RED BARRON,,
,757,BRIOSO DAMASK,,
,758,DIAMOND STAR,,
,759,ABRAXAS AVEEN,,
,760,ARICON ALCIDE,,
,761,ARICON ANTONIA,,
,762,WOODROW LETTUCE,,
,763,GEHAM TRISTAR,,
,764,LANGTONS DELILAH OF BLASTOIDEA,,
,765,JUDYS CHOICE,,
,766,SOLO MAHOGONY STAR,,
,767,KING EDWARD'S SHINER,,
,768,JOBRULU TANGERINE,,
,769,MAERDY METHUZELAH,,
,770,MOATVALE MAYFLOWER,,
,771,SOUPERLATIVE SUNNY OF ORMANDY,,
,772,CHLOE OF BROBAR,,
,773,LANGVILLE SEA PIRATE,,
,774,LANGVILLE BLUE MOON,,
,775,LANGVILLE CHORUS GIRL,,
,776,LANGVILLE SNOW QUEEN,,
,777,HOLLYFIRS BITTER SWEET,,
,778,GEHAM GAUNTLET,,
,779,ASHFIELD CRACKERJACK,,
,780,EL GRA OF WILMIR,,
,781,KEARBY'S PIRATE KING,,
,782,KEARBY'S LOUISA,,
,783,KEARBY'S JERREMY,,
,784,KEARBY'S SCHEHEREZADE,,
,785,ORMANDY'S ARCHANGEL,,
,786,KEARBY'S BRAMBLE QUEEN,,
,787,GEHAM BENJAMIN BUMBLEBEE,,
,788,CAROL MANDETTA,,
,789,CATRIONA SEPTEMBER STAR,,
,790,CATRIONA MISS PIP,,
,791,SEABRYN SQUADRON LEADER,,
,792,CATRIONA REGAN,,
,793,MY FAIR LADY,,
,794,IONEM SILVER MIST OF GEHAM,,
,795,GAY BEAUTY OF IPPON,,
,796,BRUMMAGEM THE BRIGAND,,
,797,DELTA OF UPEND,,
,798,WOODROW FROSTY FLAKE OF ORMANDY,,
,799,MAERDY MYSTIC MAID,,
,800,SOUPERLATIVE SPEEDY OF BOOKSALE,,
,801,SOUPERLATIVE DENSPURS SPINDRIFT,,
,802,DENSPURS SENSATION,,
,803,ROMANY ROVING SAILOR,,
,804,ROMANY RIVER WITCH,,
,805,MONKERY MR. FROSTY OF ORMANDY,,
,806,DENSPURS SUMMER SKY,,
,807,TRANQUIL RICHMOND LASS,,
,808,CINNABAR OF LENSTER,,
,809,CURRANEYE SCHOOLGIRL,,
,810,HARDRA'S SUNBEAM,,
,811,BROBAR ELITE,,
,812,ABRAXAS ANOTHER ARCHIE,,
,813,ABRAXAS AMORET,,
,814,ABRAXAS AURICA,,
,815,F11,,
,816,F12,,
,817,AJESTAWEEK CHARLIE'S CHIP OF MALODINE,,
,818,LADY FAUSTINA,,
,819,RANDELLA PIPKINS,,
,820,SOUPERLATIVE KAYBELLA,,
,821,CURRANEYE POLLY PERKINS,,
,822,SOPHIEDORA TOPAM,,
,823,LARES LOST PROGRESS,,
,824,LARES LUCKY STAR,,
,825,LARES GYPSY PAGEANT,,
,826,MENOWARS BESS,,
,827,BRAMBLEMERE YOUNG HEREFORD OF LENSTER,,
,828,PHIDGITY PHUCHSIA,,
,829,AGATES CANDYTUFT,,
,830,POSEIDON INTERDICTOR,,
,831,PAPILIO PAM ANN,,
,832,F13,,
,833,F14,,
,834,F15,,
,835,F16,,
,836,F17,,
,837,F18,,
,838,F19,,
,839,F20,,
,840,ROMANY RIO COLORADO,,
,841,LARES LOST RADIANCE,,
,842,KEARBY'S JACQUELINE,,
,843,KIRKVILLE BUTCH CASSIDY,,
,844,KIRKVILLE MAID MARION,,
,845,KIRKVILLE HAPPY HOOKER,,
,846,MAERDY MISCHKA,,
,847,ABERDARON VANSBRO,,
,848,CHERRIE GWYN,,
,849,MAGOR MIDAS TOUCH,,
,850,CANNORO CAPRICE,,
,851,ARICON AFRICAN QUEEN,,
,852,MISS BUTTONS OF BRUM,,
,853,AMFLO GIRL,,
,854,WARTHORN WITCH WAY,,
,855,MANSTRO MOONBEAM,,
,856,JELLIKER KING ARFUR,,
,857,CURRANEYE OSOPHIE,,
,858,DAJANS HOME DANCE OF NAVADA,,
,859,BRUM'S ENTERPRISE OF HERON,,
,860,HILLTOP BRIGHT BESS,,
,861,LADY KATARINA,,
,862,MAJANCO WALITTA SUNRISE,,
,863,HONEY APALOSA,,
,864,CURRANEYE ARISTA IMPERATOR,,
,865,POLYTELIS DAINTY DARLING,,
,866,BRUBAKER VON DER ALTEN VESTE,,
,867,FANNY VOM TELGEI,,
,868,SPOOKY TOOTHS BARCLEY JAMES,,
,869,SPOOKYTOOTH'S PEPSI,,
,870,BRUTUS VOM HAUS ASTORIA,,
,871,BACCARA VERVA,,
,872,SAXONE SAKI,,
