,ID,Кличка официальная,Отец id,Мать id
,127,GAYTROLL WHITE MIGHT,195,196
,128,KILACABAR A KIND OF MAGIC AT BULLYVARK,197,198
,129,BULIVAR STAR BUCK TAWNBARR,199,200
,130,ISHABA CANDLEBRIGHT,165,201
,131,SWEET JASMINE,202,203
,132,SLEEPING SENTINAL,204,205
,133,BORRI MORT,206,207
,134,CERIDWEN GOLD COIN,208,209
,135,HILLANVALE LAURAS GIFT,210,68
,136,KALKAURAI NO SUCH SOUL,211,212
,137,HIPPI CHIC OF KALKAURAI,96,212
,138,CABRIOL DIAMONIQUE,48,213
,139,TOP MTOTO ALET,214,215
,140,ARICON EYE IN THE SKY,98,216
,141,WILBARY QUEEN HIGH,93,217
,142,GHABAR FLAGSHIP,165,218
,143,WILET THE THING ABOUT IT IS AT WARMASTER,219,220
,144,GENTLE LITTLE MADAM,221,222
,145,EMRED NUTCRACKER,186,223
,146,STANLANA SNOW PRINCESS OF TYEBAR,224,225
,147,BUDDY BOY BACK CHATTER,226,227
,148,SHE'S A TREASURE,228,229
,149,BRYONTEEZ DAISY MAY,199,230
,150,JAYCAR STARSHINE AT ARICON,199,231
,151,DOUBLE DUTCH OF PITMANS,232,233
,152,EXPLORER OF PRINCE BELINDA,234,235
,153,EXPLORER OF PRINCE ADVOKAT,234,235
,154,MARTAINS LITTLE HOPE,236,237
,155,SUEJABUL TORRO BLANC,142,238
,156,DOLLYGROVES ILLUSTRIOUS AT SONSPAR,239,240
,157,KILACABAR MARSHAL LAW,142,125
,158,BARNARD BLACKEYED SOUIX,241,242
,159,TYEBAR MR.DEVIOUS,112,243
,160,MY LITTLE GEM,244,245
,161,TYEBAR NORTHERN STORM,246,247
,162,DIAMOND NIGHT,248,249
,163,JACKENNA TRAILER OF DITON,250,251
,164,HARDRA'S HUMBLE PIE,252,253
,165,GHABAR THE ADMIRAL,250,254
,166,JACOBI MISS MINIVER,255,256
,167,NAPIER QUIXOTIC OF MAPALEE,170,257
,168,MAPALEE ASPHODEL,170,258
,169,MAPALEE WHITE PEPPER,167,258
,170,MAPALEE INOXYDABLE,259,260
,171,EIRDRED'S SWEET SENSATION OF STARAY,165,261
,172,MANZANITA MOONWALKER,262,263
,173,ASTELLE HOLY HAVOC,264,265
,174,GOLDEN GIRL,199,266
,175,TURKSHEAD AMOURETTE,267,268
,176,WIDGERY DREAM TOPPING,269,270
,177,ARICON EYE BET,271,272
,178,NAVADA HOME SONG,273,274
,179,ARICON EYECONTENDER,140,275
,180,SOARING FALCON,177,276
,181,BURUNDI BLACK,277,278
,182,ALDRINGHAM RUBY TUESDAY,279,280
,183,BULLYVIEW FLASH DANCE,165,281
,184,MAXDON HUSTLER AT TIAPAN,126,282
,185,BULLYVIEW GENTLE BREEZE,165,283
,186,MANZANITA MARVIN,284,285
,187,MANZANITA MARQUITA,165,286
,188,GWLADYHAF BEE MY GIRL,287,288
,189,JAKE HARDY DAVIES OF LANGVILLE,289,290
,190,HOT LIPS AT SONSPAR,250,291
,191,GREALLTOP MATADOR,292,293
,192,GREALLTOP SAYANI,294,293
,193,ARICON SAMUEL CERBERUS,232,295
,194,MORNING GLORY,296,297
,195,DAVANAS GANGER OF FOYRI,298,299
,196,CORNELIA WHITE ROSE,300,301
,197,ARGUSIDE YULETIDE GHOSTE ON CURRANEYE,181,302
,198,KILACABAR TRIPLE ECHO,181,125
,199,ARICON ONE IN THE EYE,303,304
,200,BULIVAR MEADOW BROWN,305,306
,201,WIDGERY SPARKLING KATIE,250,307
,202,GAMBLERS SPARTAN WARRIOR,189,308
,203,REVENGE OF MATILDA,309,310
,204,BRAVELLO RICKY,311,312
,205,RHEINGOLD CANDYTUFFT,313,314
,206,LITTLE BIG HEAD,315,316
,207,MOONSHINE MAGIC LADY,317,318
,208,CAMQUEST THEO SYLVANDER OF ARICON,199,319
,209,CERIDWEN CHELSEA ROSE,177,320
,210,CROSSGUNS CHECKMATE OF BULLYVIEW,321,322
,211,SILVER DREAMS OF TYEBAR,96,323
,212,BLACK EMPRESS,324,325
,213,CARBRI CHORUS GIRL,93,326
,214,QUEST HELLRAISER,327,328
,215,SCENIC SHOW ALET,329,330
,216,CEILTEACH FLICKER TO A FLAME OF ARICON,331,332
,217,NAVADA CAT WALK QUEENIE OF WILBARY,142,333
,218,GHABAR LIBERTY,334,335
,219,SONSPAR INKSPOT AT WILET,189,190
,220,WILET SPARKLING JUDY,181,336
,221,ROLYANS FLOYD CURRANEYE,337,338
,222,ROGUE KARCRIS,339,340
,223,BROBAR AUNT SALLY OF EMRED,339,341
,224,BROBAR JOKER OF EMRED,339,341
,225,TOPKINE CHIT CHAT,279,342
,226,WHITE KNIGHT WARRIOR,343,344
,227,BONNY PRINCESS JULIE,345,346
,228,MATADOMINO BOY,191,192
,229,DARK EMPRESS,343,344
,230,BRYONTEEZ BOBBIE SOXZ,347,348
,231,GEHAM GODIVA,277,349
,232,EYESHINER OF ARICON,350,351
,233,TROUBLESOME ANGEL OF BROBAR,352,353
,234,MERCEDES BUCCANEER,354,355
,235,POLYTELIS BESSIE,354,356
,236,NIMART FLIGHTY FANCY,357,358
,237,TRYOVANN AGRIPPA,359,360
,238,PENBRAY'S PETRONELLA,361,362
,239,NAVADA NAVEL OFFICER OF DOLLYGROVES,142,333
,240,BRAVELLO SEA LILY OF DOLLYGROVES,142,363
,241,SHERIFF'S STAR,262,364
,242,BARNARD DEVILS CHOICE,339,365
,243,TAWNBARR HOT PURSUIT AT TYEBAR,366,367
,244,EARL OF DARKNESS,368,369
,245,TYEBAR A REAL ROSE,370,371
,246,HORRABRIDGE HAPPY GO LUCKY,372,373
,247,INDIAN DREAM OF TYEBAR,244,225
,248,OUNSDALE FULL CIRCLE FOYRI,374,375
